Name,Site,ROR ID,Hosting
Open Library of Humanities,https://www.openlibhums.org/,https://ror.org/02mb95055,paid
Aberdeen University Press,https://journals.aberdeenunipress.org/,https://ror.org/016476m91,paid
Aperio Journals,https://journals.aperio.press/,https://ror.org/0153tk833,paid
University of Arizona Libraries,https://journals.librarypublishing.arizona.edu/,https://ror.org/03m2x1q45,paid
American Review of Political Economy,https://arpejournal.com/,https://ror.org/01yjyvb35,paid
Brief Encounters,https://briefencounters-journal.co.uk/,https://ror.org/00ayhx656,paid
Video Journal of Education,https://vjer.tc.columbia.edu/,https://ror.org/00hj8s172,paid
University and State Library Darmstadt,https://tujournals.ulb.tu-darmstadt.de/,https://ror.org/05n911h24,paid
Communications Undergraduate Journal,https://cujournal.ie/,https://ror.org/04a1a1e81,paid
Essex Student Journal,https://publications.essex.ac.uk/,https://ror.org/02nkf1q06,paid
Journal of Education and Training,https://etbi.galactica.janeway.systems/,,paid
Ghent University Library,https://openjournals.ugent.be/,https://ror.org/00cv9y106,paid
Harvard Library Bulletin,,,paid
University of Huddersfield Press,https://unipress.hud.ac.uk/,https://ror.org/05t1h8f27,paid
University of Iowa Libraries,https://pubs.lib.uiowa.edu/,https://ror.org/036jqmy94,paid
Iowa State University Digital Press,https://iastatedigitalpress.com/,https://ror.org/04rswrd78,paid
Journal of the Society for Clinical Data Management,https://www.jscdm.org/,,paid
University of North Carolina Press,https://janeway.uncpress.org,https://ror.org/0130frc33,paid
Mainz University Library,https://journals.ub.uni-mainz.de/,https://ror.org/023b0x485,paid
Michigan Publishing,https://journals.publishing.umich.edu/,https://ror.org/00jmfr291,paid
Ohio State University Libraries Digital Publishing,https://ojs.library.osu.edu/,https://ror.org/00rs6vg23,paid
Salford Open Journals,https://openjournals.salford.ac.uk/,https://ror.org/01tmqtf75,paid
Field Journal,https://www.field-journal.org/,https://ror.org/05krs5044,paid
The Spenser Review,https://spenserreview.org/,https://ror.org/00hx57361,paid
University College London Open Access Student Journals,https://student-journals.ucl.ac.uk/,https://ror.org/02jx3x895,paid
University College London Press,https://journals.uclpress.co.uk/,https://ror.org/02jx3x895,paid
University of Massachusetts Chan Medical School,https://publishing.escholarship.umassmed.edu/,https://ror.org/0464eyp60,paid
Open Publishing at University of Massachusetts Amherst,https://openpublishing.library.umass.edu/,https://ror.org/0072zz521,paid
New Vistas,https://uwlpress.uwl.ac.uk/,https://ror.org/03e5mzp60,paid
University of Vermont Press,https://vermont.defender.janeway.systems/,https://ror.org/0155zta11,paid
Journal of Contemplative Studies,https://jcs.contemplativejournal.org/,https://ror.org/0153tk833,paid
Digital Enlightnment Studies,https://digitalenlightenmentstudies.org/,https://ror.org/052gg0110,paid
Science for Sustainability Journal,https://s4s.greenofficevu.nl/,https://ror.org/008xxew50,paid
Voices in Urban Education,https://vue.metrocenter.steinhardt.nyu.edu/,https://ror.org/0190ak572,paid
University of Wales Press,https://journal.uwp.co.uk/,https://ror.org/01se4f844,paid
Washington University in St. Louis University Libraries,https://journals.library.wustl.edu/,https://ror.org/01yc7t268,paid
Wessex Archaeology,https://www.wessexarchlibrary.org/,https://ror.org/02j3zbr06,paid
University of Westminster Press,https://uwestminsterpress.co.uk/,https://ror.org/04ycpbx82,paid
University of Wollongong Library,https://www.uowoajournals.org/,https://ror.org/00jtmb277,paid
Journal of the National Organization for Student Success,https://www.jnoss.org/,https://ror.org/034948b51,paid
IDPro Body of Knowledge,https://bok.idpro.org/,,paid
University of Tennessee Libraries,,https://ror.org/020f3ap87,paid
Sissa Medialab,https://medialab.sissa.it/en,https://ror.org/004fze387,self-hosted
California Digital Library,https://escholarship.org/,https://ror.org/03yrm5c26,self-hosted
Vienna University of Technology,,https://ror.org/04d836q62,self-hosted
Carnegie Mellon University Library Publishing Service,https://lps.library.cmu.edu/,https://ror.org/05x2bcf33,self-hosted
